paymentDayOfMonth,telephone,email,firstName,surname,jobRate
20,"753 548 577","kmoskal@aptekarz.pl","Moskal","Kazimierz",45
20,"277 891 299","zbabalski@nocny-kwartet.pl","Babalski","Zbigniew",30
20,"94 219 642","sdzikowski@onet.pl","Dzikowski","Stanisław",30
20,"437 575 412","cszlachta@wp.pl","Szlachta","Cezary",10
20,"155 341 204","pjakubiak@onet.pl","Jakubiak","Piotr",20
20,"4 992 946","sfedorowicz@wp.pl","Fedorowicz","Stanisław",30
20,"992 862 774","esmoliński@wp.pl","Smoliński","Elżbieta",25
20,"223 627 815","btomański@aptekarz.pl","Tomański","Beata",20
20,"301 629 824","hrynasiewicz@wp.pl","Rynasiewicz","Henryk",25
20,"965 370 222","pjaros@aptekarz.pl","Jaros","Paweł",25
20,"928 967 327","phofman@nocny-kwartet.pl","Hofman","Piotr",25
20,"505 483 808","mkozłowska-rajewicz@onet.pl","Kozłowska-Rajewicz","Marek",20
20,"919 035 642","azieliński@onet.pl","Zieliński","Agnieszka",25
20,"562 128 609","gsiarka@interia.pl","Siarka","Grażyna",30
20,"85 488 665","sgirzyński@bialan.pl","Girzyński","Sławomir",25
20,"940 858 959","jpluta@bialan.pl","Pluta","Jan",10
20,"767 502 947","awilk@interia.pl","Wilk","Andrzej",20
20,"465 193 641","pkaczanowski@interia.pl","Kaczanowski","Paweł",10
20,"21 015 258","jprządka@wp.pl","Prządka","Jacek",25
20,"76 809 956","wbłochowiak@wp.pl","Błochowiak","Wojciech",30
20,"525 604 105","esońta@bialan.pl","Sońta","Elżbieta",25
20,"304 479 157","azacharewicz@onet.pl","Zacharewicz","Andrzej",10
20,"294 554 438","sgiżyński@aptekarz.pl","Giżyński","Sławomir",25
20,"604 803 265","sfalfus@wp.pl","Falfus","Stanisław",30
20,"215 232 796","jpiechociński@aptekarz.pl","Piechociński","Jan",30
20,"625 665 876","kmarcinkiewicz@wp.pl","Marcinkiewicz","Krzysztof",25
20,"811 737 494","jmusiał@nocny-kwartet.pl","Musiał","Józef",30
20,"186 261 763","rgórski@interia.pl","Górski","Ryszard",30
20,"641 723 652","mkotkowska@bialan.pl","Kotkowska","Marek",20
20,"431 833 071","llamczyk@onet.pl","Lamczyk","Lidia",25
20,"225 522 397","mkalisz@interia.pl","Kalisz","Monika",10
20,"670 915 475","zbabinetz@aptekarz.pl","Babinetz","Zbigniew",25
20,"443 222 113","wbojko@bialan.pl","Bojko","Władysław",10
20,"711 990 281","rhoc@interia.pl","Hoc","Radosław",25
20,"215 848 344","bśnieżek@aptekarz.pl","Śnieżek","Bogdan",25
20,"398 205 149","łkrzyśków@interia.pl","Krzyśków","Łukasz",25
20,"716 375 924","jpatalita@onet.pl","Patalita","Janusz",25
20,"702 504 325","rgosiewski@interia.pl","Gosiewski","Ryszard",20
20,"84 498 222","lleszczyna@onet.pl","Leszczyna","Leszek",30
20,"279 887 672","btomczak@wp.pl","Tomczak","Barbara",30
20,"297 311 408","mkopeć@wp.pl","Kopeć","Marek",20
20,"613 097 544","zajchler@wp.pl","Ajchler","Zdzisława",25
20,"645 795 711","ażmijan@onet.pl","Żmijan","Adam",25
20,"9 043 901","llipiński@aptekarz.pl","Lipiński","Leonard",20
20,"98 814 782","jneumann@aptekarz.pl","Neumann","John",20
20,"430 325 552","piwiński@interia.pl","Iwiński","Piotr",30
20,"350 673 094","rgowin@bialan.pl","Gowin","Ryszard",10
20,"499 170 425","jraba@interia.pl","Raba","Jacek",30
20,"366 196 901","jpahl@onet.pl","Pahl","Jarosław",10
20,"710 787 694","awojciechowski@aptekarz.pl","Wojciechowski","Andrzej",20
20,"678 739 232","awoźniak@interia.pl","Woźniak","Andrzej",30
20,"50 251 293","jostrowski@interia.pl","Ostrowski","Jarosław",10
20,"254 590 463","tczykwin@onet.pl","Czykwin","Tadeusz",25
20,"383 151 296","tdąbrowska@aptekarz.pl","Dąbrowska","Tadeusz",30
20,"85 965 174","aujazdowski@onet.pl","Ujazdowski","Arkady",30
20,"550 968 036","mkierzkowska@aptekarz.pl","Kierzkowska","Michał",30
20,"995 815 178","wbuła@onet.pl","Buła","Waldemar",25
20,"561 141 364","hrybicki@wp.pl","Rybicki","Henryk",30
20,"28 938 390","tczerwiński@bialan.pl","Czerwiński","Tadeusz",10
20,"831 611 807","zatamańczuk@wp.pl","Atamańczuk","Zbigniew",20
20,"877 809 273","jołdakowski@aptekarz.pl","Ołdakowski","Jerzy",10
20,"855 354 238","jredzimski@aptekarz.pl","Redzimski","Jacek",25
20,"334 065 020","azuba@interia.pl","Zuba","Adam",20
20,"693 505 180","sgarbowski@nocny-kwartet.pl","Garbowski","Stanisław",30
20,"255 909 742","jnowak@interia.pl","Nowak","Joanna",45
20,"578 724 590","esikora@bialan.pl","Sikora","Ewa",10
20,"705 049 929","mkowalski@wp.pl","Kowalski","Marek",30
20,"427 630 309","rgraś@onet.pl","Graś","Roman",25
20,"692 988 074","kmasłowska@interia.pl","Masłowska","Krystyna",30
20,"139 061 125","zandzel@interia.pl","Andzel","Zbigniew",25
20,"405 286 369","grzymełka@interia.pl","Rzymełka","Grzegorz",25
20,"545 633 605","mkluzik-rostkowska@interia.pl","Kluzik-Rostkowska","Marzena",30
20,"320 864 600","rgrabicka@interia.pl","Grabicka","Romuald",20
20,"591 191 298","jracki@onet.pl","Racki","Jacek",25
20,"40 316 292","awita@nocny-kwartet.pl","Wita","Andrzej",30
20,"79 577 124","tczaplicka@onet.pl","Czaplicka","Tomasz",25
20,"277 262 910","esławecki@interia.pl","Sławecki","Ewa",30
20,"442 710 586","jnowak@interia.pl","Nowak","Joanna",10
20,"792 921 350","pjagiełło@onet.pl","Jagiełło","Piotr",30
20,"923 618 952","eskowrońska@wp.pl","Skowrońska","Ewa",25
20,"560 580 368","sdurka@interia.pl","Durka","Stefan",10
20,"747 884 271","mkłosowski@interia.pl","Kłosowski","Mariusz",25
20,"167 176 803","cszejnfeld@aptekarz.pl","Szejnfeld","Cezary",20
20,"350 602 908","mkarasiewicz@onet.pl","Karasiewicz","Mirosław",25
